Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 21 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/filters/useFilterPlans.ts,TypeScript,21
Interface module with 20 lines of code,MEDIUM,RAW,2026-07-13,4,src/hooks/flightPlan/pickFlightPlanCreateFields.ts,TypeScript,20
Interface module with 20 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/handleCancel/useCancelCreateFlightPlan.ts,TypeScript,20
Interface module with 19 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/ArcGISHelpers/createPoint.ts,TypeScript,19
Interface module with 19 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/points/herhalenSelection.ts,TypeScript,19
Interface module with 18 lines of code,MEDIUM,RAW,2026-07-14,3,src/helpers/points/sortPointsByImageCount.ts,TypeScript,18
Interface module with 17 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/features/useFetchInitialFeatures.ts,TypeScript,17
Interface module with 17 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/points/starredPointSelection.ts,TypeScript,17
Interface module with 16 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/pointHoverGraphics.ts,TypeScript,16
Interface module with 16 lines of code,MEDIUM,RAW,2026-07-17,0,src/api-hooks/planImages/usePointPlanImages.ts,TypeScript,16
Interface module with 16 lines of code,MEDIUM,RAW,2026-07-04,13,src/hooks/map/mapClickGuard.ts,TypeScript,16
Interface module with 16 lines of code,MEDIUM,RAW,2026-06-06,41,src/hooks/hover-click-handlers/useFinishedPlanMapHighlight.ts,TypeScript,16
Interface module with 16 lines of code,MEDIUM,RAW,2026-07-17,0,src/api-hooks/planImages/useGeometryPlanImages.ts,TypeScript,16
Interface module with 15 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/selectedGeometryGraphics.ts,TypeScript,15
Interface module with 15 lines of code,MEDIUM,RAW,2026-06-10,37,src/hooks/hover-click-handlers/useGeometryListMapActions.ts,TypeScript,15
Interface module with 15 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/handleCancel/useHandleClearFinishedPlan.ts,TypeScript,15
Interface module with 15 lines of code,MEDIUM,RAW,2026-07-13,4,src/hooks/flightPlan/runFlightPlanCreateSuccess.ts,TypeScript,15
Interface module with 15 lines of code,MEDIUM,RAW,2026-06-10,37,src/hooks/hover-click-handlers/usePointListMapActions.ts,TypeScript,15
Interface module with 14 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/useResetTabs.ts,TypeScript,14
Interface module with 13 lines of code,MEDIUM,RAW,2026-07-17,0,src/hooks/shared/useDebouncedValue.ts,TypeScript,13
Interface module with 13 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/arcgis/attachmentDisplayUrl.ts,TypeScript,13
Interface module with 13 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/getDistanceMeters.ts,TypeScript,13
Interface module with 13 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/useMapInitialization.ts,TypeScript,13
Interface module with 13 lines of code,MEDIUM,RAW,2026-06-10,37,src/hooks/editPoint/useCoordinateSystemSync.ts,TypeScript,13
Interface module with 13 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/useRenderVluchtPlans.ts,TypeScript,13
Interface module with 12 lines of code,MEDIUM,RAW,2026-06-10,37,src/hooks/viewPlan/useSortedPointSelection.ts,TypeScript,12
Interface module with 12 lines of code,MEDIUM,RAW,2026-07-14,3,src/helpers/geometry/matchesGeometryRepeat.ts,TypeScript,12
Interface module with 12 lines of code,MEDIUM,RAW,2026-07-17,0,src/hooks/zustand/shared/flightPlanFormValues.ts,TypeScript,12
Interface module with 12 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/handleCancel/useHandleCancel.ts,TypeScript,12
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/getBackEndUrl.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/ArcGISHelpers/replaceGraphics.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/base64ToBlob.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-07-15,2,src/hooks/filters/filterPlanPoints.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/features/useResetFeatures.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,43,src/lib/invalidateAfterMutation.ts,TypeScript,11
Interface module with 10 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/getLoginUrlWithReturn.ts,TypeScript,10
Interface module with 10 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/hover-click-handlers/usePointHover.ts,TypeScript,10
Interface module with 10 lines of code,MEDIUM,RAW,2026-07-13,4,src/hooks/hover-click-handlers/useGeometryListHover.ts,TypeScript,10
