Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"McCabe complexity of 9 for unit filterPointsByCriteria.ts.matchesPeriod(EnrichedPointType,PointFilterCriteria)",LOW,RAW,2026-07-15,2,"filterPointsByCriteria.ts.matchesPeriod(EnrichedPointType,PointFilterCriteria)",src/hooks/filters/filterPointsByCriteria.ts#L13:33,TypeScript,18,9,2
McCabe complexity of 7 for unit resolveDebouncedPointWgs84.ts.resolveDebouncedPointWgs84(PointFormState),LOW,RAW,2026-07-04,13,resolveDebouncedPointWgs84.ts.resolveDebouncedPointWgs84(PointFormState),src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/resolveDebouncedPointWgs84.ts#L5:26,TypeScript,18,7,1
McCabe complexity of 9 for unit FinishedPlanWriter.insertFinishedRow(FinishedPlanPoint),LOW,RAW,2026-07-01,16,FinishedPlanWriter.insertFinishedRow(FinishedPlanPoint),backend/src/helpers/finished-plans/createFinishedPlanDb.ts#L202:220,TypeScript,18,9,1
"McCabe complexity of 7 for unit formatPlanGeometries.ts.formatPlansWithGeometries(Record<string, unknown>)",LOW,RAW,2026-06-30,17,"formatPlanGeometries.ts.formatPlansWithGeometries(Record<string, unknown>)",backend/src/helpers/queries/geometries/formatPlanGeometries.ts#L73:94,TypeScript,18,7,1
McCabe complexity of 6 for unit refreshFeatureStores.ts.refreshFeatureStores(string),LOW,RAW,2026-07-17,0,refreshFeatureStores.ts.refreshFeatureStores(string),src/lib/refreshFeatureStores.ts#L4:24,TypeScript,18,6,1
McCabe complexity of 6 for unit useGeometryGraphicsEffects.ts.useGeometryGraphicsRendering(any),LOW,RAW,2026-07-14,3,useGeometryGraphicsEffects.ts.useGeometryGraphicsRendering(any),src/hooks/features/useGeometryGraphicsEffects.ts#L17:41,TypeScript,17,6,1
"McCabe complexity of 7 for unit selectedPointDetailsData.ts.buildSelectedPointDetails(EnrichedPointType,Option[],Option[])",LOW,RAW,2026-07-14,3,"selectedPointDetailsData.ts.buildSelectedPointDetails(EnrichedPointType,Option[],Option[])",src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/SelectedPointDetails/selectedPointDetailsData.ts#L5:25,TypeScript,17,7,3
McCabe complexity of 6 for unit drawingToolMapCleanup.ts.clearCurrentlyDrawingGraphics(MapView|null|undefined),LOW,RAW,2026-06-10,37,drawingToolMapCleanup.ts.clearCurrentlyDrawingGraphics(MapView|null|undefined),src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/drawingToolMapCleanup.ts#L6:27,TypeScript,17,6,1
McCabe complexity of 9 for unit filterFinishedPlansForItem.ts.getItemDisplayTitle(any),LOW,RAW,2026-07-13,4,filterFinishedPlansForItem.ts.getItemDisplayTitle(any),src/helpers/timeslider/filterFinishedPlansForItem.ts#L17:37,TypeScript,17,9,1
"McCabe complexity of 10 for unit logFields.ts.buildLogInsertValues(number,LogInsertInput)",LOW,RAW,2026-06-30,17,"logFields.ts.buildLogInsertValues(number,LogInsertInput)",backend/src/helpers/queries/logs/logFields.ts#L45:64,TypeScript,17,10,2
"McCabe complexity of 6 for unit parseAgentReport.ts.parseAgentReportBody(Record<string, unknown>)",LOW,RAW,2026-07-04,13,"parseAgentReport.ts.parseAgentReportBody(Record<string, unknown>)",backend/src/routes/devices-updates/agent/parseAgentReport.ts#L18:33,TypeScript,16,6,1
"McCabe complexity of 7 for unit geometryHerhalen.ts.sortGeometriesForSelection(Geometry[],number[])",LOW,RAW,2026-07-04,13,"geometryHerhalen.ts.sortGeometriesForSelection(Geometry[],number[])",src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/geometryHerhalen.ts#L27:46,TypeScript,16,7,2
McCabe complexity of 6 for unit filterPlansByPeriod.ts.matchesPeriod(any),LOW,RAW,2026-07-17,0,filterPlansByPeriod.ts.matchesPeriod(any),src/hooks/filters/filterPlansByPeriod.ts#L14:37,TypeScript,16,6,1
McCabe complexity of 6 for unit nearestPoint.ts.findNearestPoint(any),LOW,RAW,2026-07-14,3,nearestPoint.ts.findNearestPoint(any),src/hooks/hover-click-handlers/nearestPoint.ts#L4:24,TypeScript,16,6,1
McCabe complexity of 9 for unit resolveRegioFilter.ts.getSessionRealmRoles(Request),LOW,RAW,2026-07-01,16,resolveRegioFilter.ts.getSessionRealmRoles(Request),backend/src/helpers/queries/shared/resolveRegioFilter.ts#L17:35,TypeScript,16,9,1
"McCabe complexity of 7 for unit PointsFilters.loadPoints(PointsFilters,Partial<PointsState>,any)",LOW,RAW,2026-06-04,43,"PointsFilters.loadPoints(PointsFilters,Partial<PointsState>,any)",src/hooks/features/usePointsStore.ts#L39:66,TypeScript,16,7,3
McCabe complexity of 6 for unit importPointRowNormalization.ts.to01(unknown),LOW,RAW,2026-07-01,16,importPointRowNormalization.ts.to01(unknown),backend/src/helpers/points/importPointRowNormalization.ts#L42:57,TypeScript,16,6,1
McCabe complexity of 6 for unit renderTabContent(),LOW,RAW,2026-06-04,43,renderTabContent(),src/Components/HomePage/Body/Bottom/PlansView/index.tsx#L19:34,TypeScript,16,6,0
McCabe complexity of 8 for unit collectUniquePlanPointIds.ts.collectUniquePlanPointIds(any),LOW,RAW,2026-07-13,4,collectUniquePlanPointIds.ts.collectUniquePlanPointIds(any),src/hooks/flightPlan/collectUniquePlanPointIds.ts#L7:27,TypeScript,15,8,1
"McCabe complexity of 9 for unit filterPointsByCriteria.ts.filterPointsByCriteria(EnrichedPointType[],PointFilterCriteria)",LOW,RAW,2026-07-15,2,"filterPointsByCriteria.ts.filterPointsByCriteria(EnrichedPointType[],PointFilterCriteria)",src/hooks/filters/filterPointsByCriteria.ts#L35:53,TypeScript,15,9,2
McCabe complexity of 10 for unit safeReturnPath.ts.safeReturnPath(unknown),LOW,RAW,2026-06-04,43,safeReturnPath.ts.safeReturnPath(unknown),backend/src/routes/auth/authKeycloak/safeReturnPath.ts#L5:19,TypeScript,15,10,1
McCabe complexity of 6 for unit syncScrollPositions.ts.syncScrollPositions(any),LOW,RAW,2026-07-13,4,syncScrollPositions.ts.syncScrollPositions(any),src/Components/HomePage/Body/Bottom/PointsView/common/functions/syncScrollPositions.ts#L3:24,TypeScript,15,6,1
McCabe complexity of 9 for unit featureLayerPopupFormatting.ts.formatPopupValue(unknown),LOW,RAW,2026-07-15,2,featureLayerPopupFormatting.ts.formatPopupValue(unknown),src/Components/HomePage/Body/Common/FeatureLayerPopup/featureLayerPopupFormatting.ts#L24:38,TypeScript,15,9,1
"McCabe complexity of 6 for unit SortedAttachment.resolveMarkerPoint(string|null|undefined,Map<string, number>)",LOW,RAW,2026-07-15,2,"SortedAttachment.resolveMarkerPoint(string|null|undefined,Map<string, number>)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/buildImageMarkerGraphics.ts#L48:67,TypeScript,15,6,2
"McCabe complexity of 8 for unit featureLayerLabelText.ts.getFeatureLayerLabelText(string,Record<string, unknown>)",LOW,RAW,2026-07-04,13,"featureLayerLabelText.ts.getFeatureLayerLabelText(string,Record<string, unknown>)",src/hooks/hover-click-handlers/featureLayerLabelText.ts#L1:19,TypeScript,14,8,2
McCabe complexity of 6 for unit HoveredPlan(FlightPlanType),LOW,RAW,2026-06-06,41,HoveredPlan(FlightPlanType),src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L101:118,TypeScript,14,6,1
McCabe complexity of 6 for unit featureLayerLabelsSync.ts.refreshFeatureLayerLabels(any),LOW,RAW,2026-07-04,13,featureLayerLabelsSync.ts.refreshFeatureLayerLabels(any),src/hooks/hover-click-handlers/featureLayerLabelsSync.ts#L7:26,TypeScript,14,6,1
McCabe complexity of 7 for unit grantError.ts.extractGrantError(unknown),LOW,RAW,2026-07-13,4,grantError.ts.extractGrantError(unknown),backend/src/routes/auth2/grantError.ts#L54:68,TypeScript,14,7,1
McCabe complexity of 6 for unit HoveredPlan(FlightPlanType),LOW,RAW,2026-06-06,41,HoveredPlan(FlightPlanType),src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L51:68,TypeScript,14,6,1
