Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
22 lines of code for unit Buttons.tsx.Buttons(any),LOW,RAW,2026-06-10,38,Buttons.tsx.Buttons(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L17:44,TypeScript,22,1,1
"22 lines of code for unit deleteGeometry.ts.deleteGeometry(Request,Response)",LOW,RAW,2026-06-04,44,"deleteGeometry.ts.deleteGeometry(Request,Response)",backend/src/routes/geometries/deleteGeometry.ts#L11:36,TypeScript,22,4,2
"22 lines of code for unit formatPlanGeometries.ts.splitPointsByGeometry(RawPoint[],SplitPointsOptions<T>)",LOW,RAW,2026-06-30,18,"formatPlanGeometries.ts.splitPointsByGeometry(RawPoint[],SplitPointsOptions<T>)",backend/src/helpers/queries/geometries/formatPlanGeometries.ts#L43:71,TypeScript,22,3,2
22 lines of code for unit FlightPlanStandardFieldsProps.pickFlightPlanFormFields(FlightPlanFormFieldValues&FlightPlanFormFieldSetters),LOW,RAW,2026-07-04,14,FlightPlanStandardFieldsProps.pickFlightPlanFormFields(FlightPlanFormFieldValues&FlightPlanFormFieldSetters),src/Components/HomePage/Body/Left/Common/FlightPlanForm/FlightPlanStandardFields.tsx#L41:64,TypeScript,22,1,1
"22 lines of code for unit mapGetacDeviceRow.ts.mapGetacDeviceRow(Record<string, unknown>)",LOW,RAW,2026-07-04,14,"mapGetacDeviceRow.ts.mapGetacDeviceRow(Record<string, unknown>)",backend/src/routes/devices-updates/mapGetacDeviceRow.ts#L11:32,TypeScript,22,5,1
22 lines of code for unit useViewPlanState.ts,LOW,RAW,2026-06-06,42,useViewPlanState.ts,src/hooks/zustand/voorbereiding/useViewPlanState.ts#L1:76,TypeScript,22,1,0
"22 lines of code for unit buildHtml.ts.htmlDiv(string,string)",LOW,RAW,2026-06-29,19,"buildHtml.ts.htmlDiv(string,string)",backend/src/helpers/html/buildHtml.ts#L15:40,TypeScript,22,1,2
"22 lines of code for unit createTemplateName.ts.createTemplateName(Request,Response)",LOW,RAW,2026-06-04,44,"createTemplateName.ts.createTemplateName(Request,Response)",backend/src/routes/template_plans/createTemplateName.ts#L8:35,TypeScript,22,4,2
"22 lines of code for unit deletePoint.ts.deletePoint(Request,Response)",LOW,RAW,2026-06-04,44,"deletePoint.ts.deletePoint(Request,Response)",backend/src/routes/points/deletePoint.ts#L10:35,TypeScript,22,4,2
"22 lines of code for unit pointGraphicFactory.ts.createPointGraphic(PointData,CreatePointGraphicOptions)",LOW,RAW,2026-07-17,1,"pointGraphicFactory.ts.createPointGraphic(PointData,CreatePointGraphicOptions)",src/helpers/ArcGISHelpers/pointGraphicFactory.ts#L10:36,TypeScript,22,2,2
"22 lines of code for unit pointGraphicCoordinates.ts.getPointCoordinates(PointData,any)",LOW,RAW,2026-07-17,1,"pointGraphicCoordinates.ts.getPointCoordinates(PointData,any)",src/helpers/ArcGISHelpers/pointGraphicCoordinates.ts#L4:30,TypeScript,22,8,2
22 lines of code for unit EditFormBody.tsx,LOW,RAW,2026-06-04,44,EditFormBody.tsx,src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditFormBody.tsx#L1:9,TypeScript,22,1,0
22 lines of code for unit useWizardPointsFilterHeader.tsx.useWizardPointsFilterHeader(any),LOW,RAW,2026-07-13,5,useWizardPointsFilterHeader.tsx.useWizardPointsFilterHeader(any),src/hooks/points/useWizardPointsFilterHeader.tsx#L3:44,TypeScript,22,6,1
"22 lines of code for unit CreateKeycloakUserInput.clearKeycloakRequiredActions(Request,string)",LOW,RAW,2026-07-04,14,"CreateKeycloakUserInput.clearKeycloakRequiredActions(Request,string)",backend/src/routes/keycloak/management/users/createKeycloakUser.ts#L84:107,TypeScript,22,4,2
22 lines of code for unit uploadAttachment(),LOW,RAW,2026-06-06,42,uploadAttachment(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/CreateImageBtn.tsx#L74:95,TypeScript,22,3,0
22 lines of code for unit flightPlanFields.ts.buildFlightPlanInsertParams(FlightPlanBodySource),LOW,RAW,2026-06-30,18,flightPlanFields.ts.buildFlightPlanInsertParams(FlightPlanBodySource),backend/src/helpers/queries/flight-plans/flightPlanFields.ts#L87:109,TypeScript,22,5,1
22 lines of code for unit syncAttachmentsInPlan.ts.syncGeometryAttachmentsInPlan(any),LOW,RAW,2026-07-13,5,syncAttachmentsInPlan.ts.syncGeometryAttachmentsInPlan(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/syncAttachmentsInPlan.ts#L59:89,TypeScript,22,4,1
22 lines of code for unit useTimesliderSelection.ts.useTimesliderSelectedPlan(any),LOW,RAW,2026-07-04,14,useTimesliderSelection.ts.useTimesliderSelectedPlan(any),src/Components/TimesliderItemDetailPage/useTimesliderSelection.ts#L4:32,TypeScript,22,6,1
"22 lines of code for unit getPoints.ts.getPoints(Request,Response)",LOW,RAW,2026-06-04,44,"getPoints.ts.getPoints(Request,Response)",backend/src/routes/points/getPoints.ts#L6:28,TypeScript,22,3,2
22 lines of code for unit useSelectFromSourceQuery.ts.useSelectFromSourceQuery(Source),LOW,RAW,2026-07-18,0,useSelectFromSourceQuery.ts.useSelectFromSourceQuery(Source),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/useSelectFromSourceQuery.ts#L8:30,TypeScript,22,5,1
22 lines of code for unit buildFinishedPlanQuery.ts.buildFinishedPlansWithPointsQuery(BuildFinishedPlansQueryOptions),LOW,RAW,2026-06-30,18,buildFinishedPlanQuery.ts.buildFinishedPlansWithPointsQuery(BuildFinishedPlansQueryOptions),backend/src/helpers/queries/finished-plans/buildFinishedPlanQuery.ts#L22:47,TypeScript,22,1,1
22 lines of code for unit nnederlandLayerSpecsPart1a.ts,LOW,RAW,2026-07-18,0,nnederlandLayerSpecsPart1a.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart1a.ts#L1:27,TypeScript,22,1,0
22 lines of code for unit useStepContentMapSync.ts.useStepContentMapSync(PointData[]),LOW,RAW,2026-07-14,4,useStepContentMapSync.ts.useStepContentMapSync(PointData[]),src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/useStepContentMapSync.ts#L11:34,TypeScript,22,1,1
22 lines of code for unit zoomToPoints(),LOW,RAW,2026-06-04,44,zoomToPoints(),src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L28:51,TypeScript,22,4,0
22 lines of code for unit flightPlanFields.ts.buildFlightPlanInsertSql(),LOW,RAW,2026-06-30,18,flightPlanFields.ts.buildFlightPlanInsertSql(),backend/src/helpers/queries/flight-plans/flightPlanFields.ts#L63:85,TypeScript,22,1,0
22 lines of code for unit index.tsx.Step1(any),LOW,RAW,2026-06-04,44,index.tsx.Step1(any),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/index.tsx#L8:51,TypeScript,22,1,1
"22 lines of code for unit timesliderHighlightGraphics.ts.addPlanPointHighlights(__esri.GraphicsLayer,FinishedFlightPlanType)",LOW,RAW,2026-07-13,5,"timesliderHighlightGraphics.ts.addPlanPointHighlights(__esri.GraphicsLayer,FinishedFlightPlanType)",src/helpers/timeslider/timesliderHighlightGraphics.ts#L18:42,TypeScript,22,4,2
22 lines of code for unit useEditPointCoordState.ts.useEditPointCoordState(),LOW,RAW,2026-07-18,0,useEditPointCoordState.ts.useEditPointCoordState(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCoordState.ts#L4:26,TypeScript,22,1,0
22 lines of code for unit FlightPlan.tsx.SinglePlan(any),LOW,RAW,2026-06-04,44,FlightPlan.tsx.SinglePlan(any),src/Components/HomePage/Body/Left/Nabewerking/ChangeFlightPlanStatus/FlightPlan.tsx#L8:35,TypeScript,22,1,1
