Name,Status,Lines of code,Lines of code (Before),Duplication,Duplication (Before)
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Omschrijving.tsx,recurring,29,29,0,0
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/index.tsx,recurring,19,19,0,0
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/helpers/buildCreatePointPayload.ts,new,22,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/helpers/createNewPoint.ts,recurring,14,14,0,0
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/helpers/findSpecificPoint.ts,recurring,16,16,0,0
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/helpers/getDistanceInMeters.ts,recurring,1,16,0,93.33
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/index.tsx,recurring,20,20,0,0
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/Filter.tsx,recurring,37,100,0,45.83
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/GeometriesList.tsx,recurring,28,215,0,5.56
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/GeometriesListItems.tsx,new,29,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/GeometryItemCheckBox.tsx,new,70,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/Header.tsx,recurring,27,27,0,0
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/PointsList.tsx,recurring,31,68,0,55.88
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/SelectButtons.tsx,recurring,26,57,0,39.02
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/geometryHerhalen.ts,new,86,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/selectGeometryFromMapClick.ts,new,32,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/useGeometriesListBase.ts,new,29,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/useGeometriesListLogEffect.ts,new,18,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/useGeometriesListModel.ts,new,21,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/useGeometriesListSelection.ts,new,27,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/useGeometryListGraphics.ts,new,30,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/useGeometryListMapClick.ts,new,57,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/Buttons.tsx,recurring,30,47,0,0
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/ImportVluchtPlan.tsx,recurring,140,220,0,5.19
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/Vluchtnummer.tsx,recurring,26,26,0,0
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/index.tsx,recurring,21,94,0,73.08
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/Fase1.tsx,recurring,27,27,0,0
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/Fase2.tsx,recurring,81,81,0,0
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/Fase3.tsx,recurring,72,93,0,0
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/TemplateGeometryRow.tsx,new,28,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/TemplatePointRow.tsx,new,24,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx,recurring,64,117,0,35.85
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/templateFlightRows.tsx,new,2,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/Buttons.tsx,recurring,55,70,0,18.42
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/index.tsx,recurring,77,82,0,35.71
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx,recurring,124,167,0,34.02
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/index.tsx,recurring,80,85,0,35.71
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parseCsvImportRows.ts,new,45,-,0,-
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parsePointImportFile.ts,new,127,-,0,-
