Source,Target,Type,Description,Status,Count,Count (Before),Undesirable
src/Components/HomePage/Body/Right/SelectedPlansPointsList/Images/SelectedPlanGeometryImagesPanel.tsx,src/api-hooks/planImages/useGeometryPlanImages.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Right/SelectedPlansPointsList/Images/SelectedPlanImagesPanel.tsx,src/api-hooks/planImages/pointPlanImagesToAttachments.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Right/SelectedPlansPointsList/Images/SelectedPlanPointImagesPanel.tsx,src/api-hooks/planImages/usePointPlanImages.ts,Code call,typescript.call,new,1,,
src/Components/TimesliderItemDetailPage/buildTimesliderPageViewParts.ts,src/api-hooks/planImages/pointPlanImagesToAttachments.ts,Code call,typescript.call,new,1,,
src/Components/TimesliderItemDetailPage/useTimesliderItemImages.ts,src/api-hooks/planImages/useGeometryPlanImages.ts,Code call,typescript.call,new,1,,
src/Components/TimesliderItemDetailPage/useTimesliderItemImages.ts,src/api-hooks/planImages/usePointPlanImages.ts,Code call,typescript.call,new,1,,
src/hooks/consts/useConstSelectOptions.ts,src/api-hooks/consts/useLookupQuery.ts,Code call,typescript.call,new,1,,
src/hooks/useGetFlightTimesDistance.ts,src/api-hooks/finishedPlans/useFinishedPlanQueries.ts,Code call,typescript.call,new,1,,
src/hooks/useLogAction.ts,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Bottom/PlansView/Details/index.tsx,src/api-hooks/finishedPlans/useFinishedPlanPath.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Common/SearchedResultsTab/index.tsx,src/api-hooks/flightPlans/useSearchedFlightPlans.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Common/SearchedResultsTab/index.tsx,src/api-hooks/points/useSearchedPoints.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Nabewerking/ChangeFlightPlanStatus/index.tsx,src/api-hooks/flightPlans/useFullPreparedFlightPlans.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/index.tsx,src/api-hooks/finishedPlans/useSingleFinishedPlan.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Nabewerking/CreateReport/index.tsx,src/api-hooks/finishedPlans/usePartialFinishedPlans.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/index.tsx,src/api-hooks/finishedPlans/usePartialFinishedPlans.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/index.tsx,src/api-hooks/finishedPlans/useSingleFinishedPlan.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/AddToPlan/StepNo/index.tsx,src/api-hooks/flightPlans/usePrepreparedFlightPlans.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/index.tsx,src/api-hooks/flightPlans/usePointFlightPlans.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step1/index.tsx,src/api-hooks/flightPlans/useUnPreparedPlans.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Omschrijving.tsx,src/api-hooks/points/useDuplicateOmschrijvingCount.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/Vluchtnummer.tsx,src/api-hooks/flightPlans/useVluchtnummerExists.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/PrepareFlightPlan/Steps/Step1.tsx,src/api-hooks/flightPlans/useUnPreparedPlans.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/RemoveFlightPlan/index.tsx,src/api-hooks/flightPlans/useFlightPlansList.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step1/index.tsx,src/api-hooks/flightPlans/useFlightPlansList.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Vluchtnummer.tsx,src/api-hooks/flightPlans/useVluchtnummerExists.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepMultiplePoints/index.tsx,src/api-hooks/flightPlans/usePrepreparedFlightPlans.ts,Code call,typescript.call,removed,0,1,
