Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Buttons.tsx#L100:115,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/index.tsx#L90:105"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L30:41,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/index.tsx#L36:47"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,30,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Common/Filter.tsx#L9:18,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Filter/index.tsx#L9:18"
9 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-04,0,9,18,3,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/PointsTable/index.tsx#L45:54,src/Components/HomePage/Body/Bottom/PointsView/GeometriesTable/index.tsx#L49:58,src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L121:130"
9 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-04,0,9,18,3,false,true,TypeScript,"src/Components/HomePage/Head/Common/FilterTabs.tsx#L26:36,src/Components/HomePage/Body/Left/Common/TabHeader/index.tsx#L28:38,src/Components/HomePage/Body/Left/Common/FiltersSection/index.tsx#L51:61"
9 lines occurring 3 times in 3 files,HIGH,RAW,2026-06-30,4,9,18,3,false,true,TypeScript,"src/hooks/zustand/shared/flightPlanFormFields.ts#L26:34,src/hooks/zustand/nabewerking/useFinishedPlansState.ts#L44:52,src/hooks/zustand/useReuseFlightPlan.ts#L40:48"
9 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-04,0,9,18,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlanDetails/DropDown.tsx#L63:114,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L132:262,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L180:310"
8 lines occurring 3 times in 2 files,HIGH,RAW,2026-07-04,0,8,16,3,false,false,TypeScript,"backend/src/helpers/queries/geometries/geometryJson.ts#L13:20,src/helpers/points/pointColumnKeys.ts#L2:9,src/helpers/points/pointColumnKeys.ts#L18:25"
7 lines occurring 4 times in 4 files,HIGH,RAW,2026-07-04,0,7,21,4,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/CoordinatesInput.tsx#L12:18,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L29:35,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx#L16:22,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts#L9:15"
7 lines occurring 4 times in 4 files,HIGH,RAW,2026-07-04,0,7,21,4,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L29:35,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/index.tsx#L40:46,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/SelectButtons.tsx#L34:40,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/SelectButtons.tsx#L43:49"
