Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 6 for unit viewPlanStepMapActions.ts.goToGeometryCenter(any),LOW,RAW,2026-07-17,10,viewPlanStepMapActions.ts.goToGeometryCenter(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/viewPlanStepMapActions.ts#L96:114,TypeScript,14,6,1
McCabe complexity of 6 for unit resolveRegioFilter.ts.getSessionRealmRoles(Request),LOW,RAW,2026-07-01,26,resolveRegioFilter.ts.getSessionRealmRoles(Request),backend/src/helpers/queries/shared/resolveRegioFilter.ts#L28:44,TypeScript,14,6,1
McCabe complexity of 7 for unit usePlanPointAttachments.ts.usePlanPointAttachments(any),LOW,RAW,2026-07-22,5,usePlanPointAttachments.ts.usePlanPointAttachments(any),src/api-hooks/finishedPlans/usePlanPointAttachments.ts#L6:24,TypeScript,14,7,1
McCabe complexity of 7 for unit grantError.ts.extractGrantError(unknown),LOW,RAW,2026-07-13,14,grantError.ts.extractGrantError(unknown),backend/src/routes/auth2/grantError.ts#L54:68,TypeScript,14,7,1
McCabe complexity of 6 for unit featureLayerLabelText.ts,LOW,RAW,2026-07-18,9,featureLayerLabelText.ts,src/hooks/hover-click-handlers/featureLayerLabelText.ts#L1:14,TypeScript,14,6,0
"McCabe complexity of 7 for unit RawPoint.buildTemplateGeometryFromFullData(number,Record<string, unknown>)",LOW,RAW,2026-07-17,10,"RawPoint.buildTemplateGeometryFromFullData(number,Record<string, unknown>)",backend/src/helpers/queries/geometries/buildTemplateGeometryGroup.ts#L7:23,TypeScript,14,7,2
McCabe complexity of 7 for unit parseCsvImportRows.ts,LOW,RAW,2026-07-27,0,parseCsvImportRows.ts,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parseCsvImportRows.ts#L1:2,TypeScript,14,7,0
"McCabe complexity of 6 for unit classifyGrantFailure.ts.classifyGrantFailure(unknown,any)",LOW,RAW,2026-07-22,5,"classifyGrantFailure.ts.classifyGrantFailure(unknown,any)",backend/src/routes/auth2/classifyGrantFailure.ts#L31:51,TypeScript,14,6,2
McCabe complexity of 6 for unit geometryMapGraphicActionsCore.ts.syncGeometriesTableMapGraphics(any),LOW,RAW,2026-07-18,9,geometryMapGraphicActionsCore.ts.syncGeometriesTableMapGraphics(any),src/helpers/ArcGISHelpers/geometryMapGraphicActionsCore.ts#L53:77,TypeScript,13,6,1
McCabe complexity of 6 for unit isPointInPolygon.ts.ringBoundingBox(number[]),LOW,RAW,2026-07-17,10,isPointInPolygon.ts.ringBoundingBox(number[]),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/isPointInPolygon.ts#L1:20,TypeScript,13,6,1
McCabe complexity of 6 for unit arcgisTokenConfig.ts.assertArcgisTokenCredentials(ResolvedArcgisTokenConfig),LOW,RAW,2026-06-30,27,arcgisTokenConfig.ts.assertArcgisTokenCredentials(ResolvedArcgisTokenConfig),backend/src/services/arcgisTokenConfig.ts#L33:49,TypeScript,13,6,1
McCabe complexity of 6 for unit SelectedPlanImagesPanel.tsx.SelectedPlanImagesPanel(any),LOW,RAW,2026-07-04,23,SelectedPlanImagesPanel.tsx.SelectedPlanImagesPanel(any),src/Components/HomePage/Body/Right/SelectedPlansPointsList/Images/SelectedPlanImagesPanel.tsx#L10:47,TypeScript,13,6,1
"McCabe complexity of 6 for unit timesliderRangeHelpers.ts.parseTimesliderRange(string|null,string|null)",LOW,RAW,2026-07-14,13,"timesliderRangeHelpers.ts.parseTimesliderRange(string|null,string|null)",src/Components/HomePage/Head/timeslider/timesliderRangeHelpers.ts#L7:22,TypeScript,13,6,2
McCabe complexity of 6 for unit navigateToLocation.ts.navigateToLocation(NavigateToLocationInput),LOW,RAW,2026-07-04,23,navigateToLocation.ts.navigateToLocation(NavigateToLocationInput),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/navigateToLocation.ts#L28:42,TypeScript,13,6,1
McCabe complexity of 7 for unit validateSpoedReportRequest.ts.validateSpoedReportRequest(any),LOW,RAW,2026-07-13,14,validateSpoedReportRequest.ts.validateSpoedReportRequest(any),backend/src/routes/emails/validateSpoedReportRequest.ts#L50:68,TypeScript,13,7,1
McCabe complexity of 6 for unit arcgis.ts.getValidToken(),LOW,RAW,2026-06-04,53,arcgis.ts.getValidToken(),backend/src/services/arcgis.ts#L41:56,TypeScript,12,6,0
