Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
16 lines of code for unit nnederlandLayerSpecsPart2d.ts,LOW,RAW,2026-07-18,0,nnederlandLayerSpecsPart2d.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart2d.ts#L1:21,TypeScript,16,1,0
16 lines of code for unit nearestPoint.ts.findNearestPoint(any),LOW,RAW,2026-07-14,4,nearestPoint.ts.findNearestPoint(any),src/hooks/hover-click-handlers/nearestPoint.ts#L4:24,TypeScript,16,6,1
16 lines of code for unit configureCorsMiddleware.ts.configureCorsMiddleware(Express),LOW,RAW,2026-07-18,0,configureCorsMiddleware.ts.configureCorsMiddleware(Express),backend/src/configure/configureCorsMiddleware.ts#L6:21,TypeScript,16,1,1
16 lines of code for unit useEditGeometryVerticesOnMap.ts.useEditGeometryVerticesOnMap(any),LOW,RAW,2026-06-04,44,useEditGeometryVerticesOnMap.ts.useEditGeometryVerticesOnMap(any),src/hooks/hover-click-handlers/useEditGeometryVerticesOnMap.ts#L12:32,TypeScript,16,3,1
"16 lines of code for unit useFilterAndSortPlans.ts.useFilterAndSortPlans(FinishedFlightPlanType[],any,string)",LOW,RAW,2026-06-04,44,"useFilterAndSortPlans.ts.useFilterAndSortPlans(FinishedFlightPlanType[],any,string)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterAndSortPlans.ts#L8:27,TypeScript,16,1,3
16 lines of code for unit emptyPointCoreFields.ts,LOW,RAW,2026-07-18,0,emptyPointCoreFields.ts,src/helpers/points/emptyPointCoreFields.ts#L1:25,TypeScript,16,1,0
16 lines of code for unit index.tsx.Step2(any),LOW,RAW,2026-06-04,44,index.tsx.Step2(any),src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L7:29,TypeScript,16,1,1
16 lines of code for unit renderTabContent(),LOW,RAW,2026-06-04,44,renderTabContent(),src/Components/HomePage/Body/Bottom/PlansView/index.tsx#L19:34,TypeScript,16,6,0
16 lines of code for unit graphicPosition(),LOW,RAW,2026-06-04,44,graphicPosition(),src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/NextBtn.tsx#L26:41,TypeScript,16,4,0
"16 lines of code for unit requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",LOW,RAW,2026-07-13,5,"requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",backend/src/routes/auth2/requireAuthClientHeader.ts#L9:26,TypeScript,16,2,3
16 lines of code for unit createAttachmentHelpers.ts.insertAttachmentRow(InsertAttachmentInput),LOW,RAW,2026-07-18,0,createAttachmentHelpers.ts.insertAttachmentRow(InsertAttachmentInput),backend/src/routes/finished_plans/createAttachmentHelpers.ts#L35:52,TypeScript,16,2,1
16 lines of code for unit Step1.tsx.Step1(any),LOW,RAW,2026-07-04,14,Step1.tsx.Step1(any),src/Components/HomePage/Body/Left/Voorbereiding/PrepareFlightPlan/Steps/Step1.tsx#L8:29,TypeScript,16,2,1
16 lines of code for unit viewPlanSession.ts.resetViewPlanSession(any),LOW,RAW,2026-07-04,14,viewPlanSession.ts.resetViewPlanSession(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/viewPlanSession.ts#L13:41,TypeScript,16,1,1
16 lines of code for unit index.tsx.Step3(any),LOW,RAW,2026-06-04,44,index.tsx.Step3(any),src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L7:31,TypeScript,16,1,1
"16 lines of code for unit parseAgentReport.ts.parseAgentReportBody(Record<string, unknown>)",LOW,RAW,2026-07-04,14,"parseAgentReport.ts.parseAgentReportBody(Record<string, unknown>)",backend/src/routes/devices-updates/agent/parseAgentReport.ts#L18:33,TypeScript,16,6,1
"16 lines of code for unit getAllEmails.ts.getAllEmails(Request,Response)",LOW,RAW,2026-06-04,44,"getAllEmails.ts.getAllEmails(Request,Response)",backend/src/routes/emails/getAllEmails.ts#L4:21,TypeScript,16,3,2
"16 lines of code for unit createPoint.ts.createPoint(number,number)",LOW,RAW,2026-06-04,44,"createPoint.ts.createPoint(number,number)",src/helpers/ArcGISHelpers/createPoint.ts#L5:23,TypeScript,16,1,2
16 lines of code for unit enrichedPointStateDefaults.ts,LOW,RAW,2026-07-14,4,enrichedPointStateDefaults.ts,src/hooks/zustand/enrichedPointStateDefaults.ts#L1:18,TypeScript,16,1,0
16 lines of code for unit index.ts.useHandleStep2(UseHandleStep2Input),LOW,RAW,2026-07-04,14,index.ts.useHandleStep2(UseHandleStep2Input),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/index.ts#L23:37,TypeScript,16,1,1
16 lines of code for unit useLogAction.ts.useLogAction(),LOW,RAW,2026-06-04,44,useLogAction.ts.useLogAction(),src/hooks/useLogAction.ts#L7:23,TypeScript,16,1,0
16 lines of code for unit useSelectFromSourceMapEffects.ts.useSelectFromSourceMapEffects(any),LOW,RAW,2026-07-04,14,useSelectFromSourceMapEffects.ts.useSelectFromSourceMapEffects(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/useSelectFromSourceMapEffects.ts#L11:31,TypeScript,16,1,1
"16 lines of code for unit geometryHerhalen.ts.sortGeometriesForSelection(Geometry[],number[])",LOW,RAW,2026-07-04,14,"geometryHerhalen.ts.sortGeometriesForSelection(Geometry[],number[])",src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/geometryHerhalen.ts#L27:46,TypeScript,16,7,2
16 lines of code for unit usePointsViewController.ts.usePointsViewController(number),LOW,RAW,2026-07-13,5,usePointsViewController.ts.usePointsViewController(number),src/Components/HomePage/Body/Bottom/PointsView/usePointsViewController.ts#L6:21,TypeScript,16,1,1
16 lines of code for unit selectAll(),LOW,RAW,2026-06-04,44,selectAll(),src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L79:96,TypeScript,16,2,0
16 lines of code for unit LoginRequiredModal.tsx.LoginRequiredModal(Props),LOW,RAW,2026-06-04,44,LoginRequiredModal.tsx.LoginRequiredModal(Props),src/Components/TimesliderItemDetailPage/sections/LoginRequiredModal.tsx#L11:22,TypeScript,16,2,1
"16 lines of code for unit verifyCredentialsHandler.ts.respondVerifyError(Request,Response,unknown)",LOW,RAW,2026-07-17,1,"verifyCredentialsHandler.ts.respondVerifyError(Request,Response,unknown)",backend/src/routes/auth2/verifyCredentialsHandler.ts#L21:36,TypeScript,16,4,3
"16 lines of code for unit mapViewCoreSlice.ts.createMapViewCoreSlice(Partial<MapViewState>,any)",LOW,RAW,2026-07-18,0,"mapViewCoreSlice.ts.createMapViewCoreSlice(Partial<MapViewState>,any)",src/helpers/ZustandStates/mapViewCoreSlice.ts#L3:20,TypeScript,16,1,2
"16 lines of code for unit useEditPointCoordSyncEffects.ts.useSyncEditPointCoordinateSystem(FinishedPointType|null,CoordState)",LOW,RAW,2026-07-18,0,"useEditPointCoordSyncEffects.ts.useSyncEditPointCoordinateSystem(FinishedPointType|null,CoordState)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCoordSyncEffects.ts#L41:60,TypeScript,16,2,2
16 lines of code for unit pdfReportAttachmentImage.ts.paintScaledCanvas(HTMLImageElement),LOW,RAW,2026-07-18,0,pdfReportAttachmentImage.ts.paintScaledCanvas(HTMLImageElement),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportAttachmentImage.ts#L42:57,TypeScript,16,2,1
"16 lines of code for unit createTemplateFlightPlan.ts.createTemplateFlightPlan(Request,Response)",LOW,RAW,2026-06-04,44,"createTemplateFlightPlan.ts.createTemplateFlightPlan(Request,Response)",backend/src/routes/template_plans/createTemplateFlightPlan.ts#L10:30,TypeScript,16,5,2
16 lines of code for unit filterPlansByPeriod.ts.matchesPeriod(any),LOW,RAW,2026-07-17,1,filterPlansByPeriod.ts.matchesPeriod(any),src/hooks/filters/filterPlansByPeriod.ts#L14:37,TypeScript,16,6,1
16 lines of code for unit useRenderPlanGeometries.ts.useRenderPlanGeometries(),LOW,RAW,2026-06-04,44,useRenderPlanGeometries.ts.useRenderPlanGeometries(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useRenderPlanGeometries.ts#L13:30,TypeScript,16,3,0
16 lines of code for unit launchPdfBrowser.ts.launchPdfBrowser(),LOW,RAW,2026-07-18,0,launchPdfBrowser.ts.launchPdfBrowser(),backend/src/routes/emails/launchPdfBrowser.ts#L3:18,TypeScript,16,2,0
"16 lines of code for unit postProxyHandler.ts.arcgisPostProxyHandler(Request,Response)",LOW,RAW,2026-06-04,44,"postProxyHandler.ts.arcgisPostProxyHandler(Request,Response)",backend/src/routes/arcgis/postProxyHandler.ts#L4:24,TypeScript,16,5,2
16 lines of code for unit handleMapClick(__esri.ViewClickEvent),LOW,RAW,2026-06-06,42,handleMapClick(__esri.ViewClickEvent),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useFotoMapClickHandler.ts#L27:42,TypeScript,16,3,1
16 lines of code for unit parsePointImportFile.ts.mapImportRowsToPoints(any),LOW,RAW,2026-07-04,14,parsePointImportFile.ts.mapImportRowsToPoints(any),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parsePointImportFile.ts#L74:97,TypeScript,16,2,1
16 lines of code for unit nnederlandLayerSpecsPart1d.ts,LOW,RAW,2026-07-18,0,nnederlandLayerSpecsPart1d.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart1d.ts#L1:21,TypeScript,16,1,0
16 lines of code for unit buildCreatePointPayload.ts.buildCreatePointPayload(any),LOW,RAW,2026-07-14,4,buildCreatePointPayload.ts.buildCreatePointPayload(any),src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/helpers/buildCreatePointPayload.ts#L6:24,TypeScript,16,3,1
"16 lines of code for unit getPlanPath.ts.getPlanPath(Request,Response)",LOW,RAW,2026-06-04,44,"getPlanPath.ts.getPlanPath(Request,Response)",backend/src/routes/finished_plans/getPlanPath.ts#L4:21,TypeScript,16,2,2
16 lines of code for unit index.tsx.Step2(any),LOW,RAW,2026-06-04,44,index.tsx.Step2(any),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/index.tsx#L14:35,TypeScript,16,1,1
16 lines of code for unit importPointRowNormalization.ts.to01(unknown),LOW,RAW,2026-07-01,17,importPointRowNormalization.ts.to01(unknown),backend/src/helpers/points/importPointRowNormalization.ts#L42:57,TypeScript,16,6,1
16 lines of code for unit registerMapHoverHandler.ts.registerMapHoverHandler(any),LOW,RAW,2026-07-17,1,registerMapHoverHandler.ts.registerMapHoverHandler(any),src/hooks/features/registerMapHoverHandler.ts#L8:31,TypeScript,16,4,1
16 lines of code for unit selectedPlansPointsList.ts.collectSelectedDataFromPlan(FinishedFlightPlanType),LOW,RAW,2026-07-17,1,selectedPlansPointsList.ts.collectSelectedDataFromPlan(FinishedFlightPlanType),src/helpers/timeslider/selectedPlansPointsList.ts#L48:67,TypeScript,16,6,1
16 lines of code for unit PointsList.tsx.PointsList(any),LOW,RAW,2026-06-04,44,PointsList.tsx.PointsList(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/PointsList.tsx#L10:52,TypeScript,16,1,1
"16 lines of code for unit GeometryPoint.patchGeometryPoint(GeometryPoint,string)",LOW,RAW,2026-07-13,5,"GeometryPoint.patchGeometryPoint(GeometryPoint,string)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Form/updateGeometryPointsComment.ts#L16:32,TypeScript,16,3,2
