WorkPackageID,Category,Status,Severity,Description,File,Unit,LOC,Complexity,Parameters,FanIn,WorkPackageName,Phase
MAINT-02,Unit interfacing,RAW,HIGH,"7 parameters for unit index.ts.useHandleStep2(FinishedFlightPlanType,number[],number[],void,void,any,any)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/index.ts,"index.ts.useHandleStep2(FinishedFlightPlanType,number[],number[],void,void,any,any)",10,2,7,,Nabewerking flows,5 - Maintainability
MAINT-04,Unit size,RAW,HIGH,385 lines of code for unit nnederlandLayers.tsx,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayers.tsx,nnederlandLayers.tsx,385,1,0,,Map shell UI,5 - Maintainability
MAINT-04,Unit size,RAW,HIGH,147 lines of code for unit constants.ts,src/Components/HomePage/Head/constants.ts,constants.ts,147,1,0,,Map shell UI,5 - Maintainability
MAINT-08,Unit size,RAW,HIGH,70 lines of code for unit useEnrichedPointState.ts,src/hooks/zustand/useEnrichedPointState.ts,useEnrichedPointState.ts,70,1,0,,Frontend catch-all,5 - Maintainability
MAINT-01,Unit size,RAW,HIGH,61 lines of code for unit buildFinishedPlanQuery.ts.buildSingleFinishedFlightPlanQuery(),backend/src/helpers/queries/buildFinishedPlanQuery.ts,buildFinishedPlanQuery.ts.buildSingleFinishedFlightPlanQuery(),61,1,0,,Backend routes and services,5 - Maintainability
MAINT-08,Unit size,RAW,HIGH,61 lines of code for unit Section4.tsx.Section4(any),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Overig/Section4.tsx,Section4.tsx.Section4(any),61,1,1,,Frontend catch-all,5 - Maintainability
ARCH-03,Component independence,RAW,HIGH,Interface module with 115 lines of code,src/hooks/features/useRenderPoints.ts,,115,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 95 lines of code,src/hooks/features/useRenderGeometries.ts,,95,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 86 lines of code,src/hooks/hover-click-handlers/useGeometryHover.ts,,86,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 85 lines of code,src/utils/useCreateData.ts,,85,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 77 lines of code,src/hooks/hover-click-handlers/useEditGeometryVerticesOnMap.ts,,77,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 73 lines of code,src/hooks/useGetFlightTimesDistance.ts,,73,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 70 lines of code,src/utils/useUpdateData.ts,,70,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 68 lines of code,src/hooks/hover-click-handlers/useFinishedPlanMapHighlight.ts,,68,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 68 lines of code,src/utils/useDeleteData.ts,,68,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 64 lines of code,src/hooks/hover-click-handlers/usePointListMapActions.ts,,64,,,,Component independence,6 - Architecture
ARCH-02,Module coupling,RAW,HIGH,Fan-in of 116 for module with 63 lines of code,src/hooks/useLogAction.ts,,63,,,116,Module coupling,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 63 lines of code,src/hooks/useLogAction.ts,,63,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 59 lines of code,src/hooks/hover-click-handlers/useGeometryListMapActions.ts,,59,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 56 lines of code,src/hooks/hover-click-handlers/useGeometryClick.ts,,56,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 54 lines of code,src/hooks/features/useHoverPointsAndGeometries.ts,,54,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 53 lines of code,src/helpers/refreshToken.ts,,53,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 51 lines of code,src/hooks/hover-click-handlers/useNearestPointClick.ts,,51,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 50 lines of code,src/hooks/hover-click-handlers/usePlanStarGraphic.ts,,50,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 48 lines of code,src/hooks/hover-click-handlers/useDrawYellowMarkers.ts,,48,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 47 lines of code,src/hooks/useMapInitialization.ts,,47,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 46 lines of code,src/hooks/editPoint/useCoordinateSystemSync.ts,,46,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 35 lines of code,src/hooks/hover-click-handlers/useDrawYellowGeometries.ts,,35,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 33 lines of code,src/hooks/hover-click-handlers/usePointHover.ts,,33,,,,Component independence,6 - Architecture
