WorkPackageID,Category,Status,Severity,Description,File,Unit,LOC,Complexity,Parameters,FanIn
MAINT-01,Unit size,RAW,MEDIUM,57 lines of code for unit buildFlightPlanQuery.ts.buildFlightPlanQuery(BuildFlightPlanQueryOptions),backend/src/helpers/queries/buildFlightPlanQuery.ts,buildFlightPlanQuery.ts.buildFlightPlanQuery(BuildFlightPlanQueryOptions),57,9,1,
MAINT-02,Unit size,RAW,MEDIUM,"57 lines of code for unit attachments.ts.safeFetchPointAttachments(string,FinishedPointType)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/attachments.ts,"attachments.ts.safeFetchPointAttachments(string,FinishedPointType)",57,11,2,
MAINT-01,Unit size,RAW,MEDIUM,56 lines of code for unit verify-regio-apis.ts.testResolveRegioFilter(),backend/scripts/verify-regio-apis.ts,verify-regio-apis.ts.testResolveRegioFilter(),56,5,0,
MAINT-08,Unit size,RAW,MEDIUM,56 lines of code for unit useMapGraphics.ts.useMapGraphics(UseMapGraphicsParams),src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts,useMapGraphics.ts.useMapGraphics(UseMapGraphicsParams),56,12,1,
MAINT-02,Unit size,RAW,MEDIUM,54 lines of code for unit exportFlightPath(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/VliegrouteExporteren/index.tsx,exportFlightPath(),54,6,0,
MAINT-01,Unit size,RAW,MEDIUM,54 lines of code for unit reportUpload.ts,backend/src/routes/reportUpload.ts,reportUpload.ts,54,9,0,
MAINT-02,Unit size,RAW,MEDIUM,54 lines of code for unit uploadAttachment(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/CreateImageBtn.tsx,uploadAttachment(),54,6,0,
MAINT-08,Unit size,RAW,MEDIUM,54 lines of code for unit index.tsx.MapViewComp(any),src/Components/HomePage/Body/MapViewComp/index.tsx,index.tsx.MapViewComp(any),54,6,1,
MAINT-08,Unit size,RAW,MEDIUM,53 lines of code for unit exportXlsx(),src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx,exportXlsx(),53,7,0,
MAINT-01,Unit size,RAW,MEDIUM,"53 lines of code for unit loginDirectHandler.ts.RequestHandler(any,any)",backend/src/routes/auth/authKeycloak/loginDirectHandler.ts,"loginDirectHandler.ts.RequestHandler(any,any)",53,8,2,
MAINT-03,Unit size,RAW,MEDIUM,53 lines of code for unit PointsList.tsx.PointsList(any),src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/PointsList.tsx,PointsList.tsx.PointsList(any),53,16,1,
MAINT-01,Unit size,RAW,MEDIUM,"53 lines of code for unit getAttachmentsPlanSinglePoint.ts.getAttachmentsPlanSinglePoint(Request,Response)",backend/src/routes/finished_plans/getAttachmentsPlanSinglePoint.ts,"getAttachmentsPlanSinglePoint.ts.getAttachmentsPlanSinglePoint(Request,Response)",53,9,2,
MAINT-01,Unit size,RAW,MEDIUM,52 lines of code for unit db.ts.registerDevice(any),backend/src/routes/devices-updates/db.ts,db.ts.registerDevice(any),52,10,1,
MAINT-01,Unit size,RAW,MEDIUM,"51 lines of code for unit deleteGeometry.ts.deleteGeometry(Request,Response)",backend/src/routes/geometries/deleteGeometry.ts,"deleteGeometry.ts.deleteGeometry(Request,Response)",51,8,2,
MAINT-08,Unit size,RAW,MEDIUM,51 lines of code for unit ArcGISUserToken.ts,src/helpers/tokens/ArcGISUserToken.ts,ArcGISUserToken.ts,51,4,0,
MAINT-02,Unit size,RAW,MEDIUM,51 lines of code for unit FormElements.tsx.FormElements(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx,FormElements.tsx.FormElements(),51,1,0,
MAINT-03,Unit size,RAW,MEDIUM,50 lines of code for unit initPolygonDrawer(),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/index.tsx,initPolygonDrawer(),50,10,0,
MAINT-07,Unit size,RAW,MEDIUM,"50 lines of code for unit selectedPlansPointsList.ts.drawGeometryHoverSkyBlue(__esri.GraphicsLayer,FinishedGeometryType)",src/helpers/timeslider/selectedPlansPointsList.ts,"selectedPlansPointsList.ts.drawGeometryHoverSkyBlue(__esri.GraphicsLayer,FinishedGeometryType)",50,8,2,
MAINT-08,Unit size,RAW,MEDIUM,50 lines of code for unit exportCsv(),src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx,exportCsv(),50,7,0,
MAINT-01,Unit size,RAW,MEDIUM,"49 lines of code for unit timesliderPlanImages.ts.fetchTimesliderPlanImages(Request,Response,FetchTimesliderPlanImagesOptions)",backend/src/helpers/queries/timesliderPlanImages.ts,"timesliderPlanImages.ts.fetchTimesliderPlanImages(Request,Response,FetchTimesliderPlanImagesOptions)",49,5,3,
MAINT-03,Unit size,RAW,MEDIUM,"49 lines of code for unit handleSubmit(number[],number[])",src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx,"handleSubmit(number[],number[])",49,7,2,
MAINT-02,Unit size,RAW,MEDIUM,49 lines of code for unit handleCopyLink(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/useCopyLink.ts,handleCopyLink(),49,10,0,
MAINT-03,Unit size,RAW,MEDIUM,49 lines of code for unit Form.tsx.Form(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx,Form.tsx.Form(),49,3,0,
MAINT-08,Unit size,RAW,MEDIUM,48 lines of code for unit Pages.tsx.Pages(),src/Components/HomePage/Head/Common/Pages.tsx,Pages.tsx.Pages(),48,10,0,
MAINT-07,Unit size,RAW,MEDIUM,48 lines of code for unit FlightPlansListCheckbox.tsx.FlightPlansListCheckbox(),src/Components/HomePage/Body/Left/TimeSlider/FlightPlansListCheckbox.tsx,FlightPlansListCheckbox.tsx.FlightPlansListCheckbox(),48,10,0,
MAINT-08,Unit size,RAW,MEDIUM,"48 lines of code for unit filterPoints(boolean,void)",src/hooks/filters/useFilterPoints.ts,"filterPoints(boolean,void)",48,20,2,
MAINT-01,Unit size,RAW,MEDIUM,48 lines of code for unit arcgis.ts.fetchArcgisTokenOnce(),backend/src/services/arcgis.ts,arcgis.ts.fetchArcgisTokenOnce(),48,9,0,
MAINT-02,Unit size,RAW,MEDIUM,"48 lines of code for unit uploadAttachmentForPoint(number,any)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useUploadAttachmentForPoint.ts,"uploadAttachmentForPoint(number,any)",48,5,2,
MAINT-02,Unit size,RAW,MEDIUM,47 lines of code for unit handleUpdate(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Form/index.tsx,handleUpdate(),47,4,0,
MAINT-08,Unit size,RAW,MEDIUM,"47 lines of code for unit useLegendLayers.ts.useLegendLayers(LegendLayerDefinition[],UseLegendLayersOptions)",src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/helpers/useLegendLayers.ts,"useLegendLayers.ts.useLegendLayers(LegendLayerDefinition[],UseLegendLayersOptions)",47,6,2,
MAINT-02,Unit size,RAW,MEDIUM,47 lines of code for unit handleSubmit(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx,handleSubmit(),47,2,0,
