Description,Severity,Status,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
9 lines occurring 7 times in 6 files,HIGH,RAW,1,9,54,7,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L17:25,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx#L22:30,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L23:31,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L28:36,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L41:49,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L62:70,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L34:42"
27 lines occurring 2 times in 2 files,HIGH,RAW,2,27,27,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx#L38:71,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx#L42:75"
9 lines occurring 7 times in 5 files,HIGH,RAW,1,9,54,7,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L75:84,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L61:70,src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L90:99,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L100:109,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L163:172,src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L94:103,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L102:111"
13 lines occurring 3 times in 3 files,HIGH,RAW,1,13,26,3,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L141:159,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L55:73,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L171:189"
13 lines occurring 3 times in 3 files,HIGH,RAW,1,13,26,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/index.tsx#L72:87,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L191:206,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContent.tsx#L120:135"
13 lines occurring 3 times in 3 files,HIGH,RAW,1,13,26,3,false,true,TypeScript,"backend/src/routes/flightPlans/getAllFlightPlans.ts#L12:24,backend/src/routes/flightPlans/getFlightPlanById.ts#L13:25,backend/src/routes/flightPlans/getFullPreparedFlightPlans.ts#L15:27"
25 lines occurring 2 times in 2 files,HIGH,RAW,2,25,25,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterPlans.ts#L7:43,src/hooks/filters/useFilterPlans.ts#L7:43"
12 lines occurring 3 times in 2 files,HIGH,RAW,1,12,24,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Foto/CreateImageBtn.tsx#L109:128,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Foto/CreateImageBtn.tsx#L167:186,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Foto/index.tsx#L353:372"
12 lines occurring 3 times in 3 files,HIGH,RAW,1,12,24,3,false,true,TypeScript,"backend/src/routes/flightPlans/getAllFlightPlans.ts#L29:40,backend/src/routes/points/getPrePreparedPlanPoints.ts#L14:25,backend/src/routes/points/getSearchedPoints.ts#L14:25"
12 lines occurring 3 times in 3 files,HIGH,RAW,2,12,24,3,false,true,TypeScript,"backend/src/routes/finished_plans/getFinishedFlightPlans.ts#L11:22,backend/src/routes/timeslider/getFinishedPlansTimeslider.ts#L27:38,backend/src/routes/finished_plans/getPartialFinishedPlans.ts#L22:33"
12 lines occurring 3 times in 2 files,HIGH,RAW,1,12,24,3,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/index.tsx#L84:95,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L30:41,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L204:215"
12 lines occurring 3 times in 2 files,HIGH,RAW,1,12,24,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/index.tsx#L39:50,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1.tsx#L51:62,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1.tsx#L80:91"
24 lines occurring 2 times in 2 files,HIGH,RAW,1,24,24,2,false,true,TypeScript,"backend/src/routes/timeslider/getGeometryPlanImages.ts#L44:73,backend/src/routes/timeslider/getPointPlanImages.ts#L42:71"
23 lines occurring 2 times in 2 files,HIGH,RAW,2,23,23,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L16:45,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L18:47"
23 lines occurring 2 times in 2 files,HIGH,RAW,2,23,23,2,false,true,TypeScript,"backend/src/routes/timeslider/getFinishedPlansTimeslider.ts#L25:50,backend/src/routes/finished_plans/getPartialFinishedPlans.ts#L20:45"
23 lines occurring 2 times in 2 files,HIGH,RAW,2,23,23,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/helpers/usePlanDuplicateState.ts#L68:98,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/helpers/useViewPlanState.ts#L93:123"
22 lines occurring 2 times in 2 files,HIGH,RAW,2,22,22,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L177:210,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L209:242"
9 lines occurring 6 times in 6 files,HIGH,RAW,1,9,45,6,false,true,TypeScript,"backend/src/routes/flightPlans/getAllFlightPlans.ts#L29:37,backend/src/routes/flightPlans/getPrepreparedFlightPlans.ts#L28:36,backend/src/routes/points/getPrePreparedPlanPoints.ts#L14:22,backend/src/routes/flightPlans/getSearchedFlightPlans.ts#L34:42,backend/src/routes/points/getSearchedPoints.ts#L14:22,backend/src/routes/template_plans/getTemplateFlightPlans.ts#L18:26"
11 lines occurring 3 times in 3 files,HIGH,RAW,1,11,22,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/ChangeFlightPlanStatus/Filter.tsx#L6:16,src/Components/HomePage/Body/Left/Common/PeriodFilter.tsx#L6:16,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/PeriodFilter.tsx#L6:16"
11 lines occurring 3 times in 2 files,HIGH,RAW,2,11,22,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/ResultTab/PointListBuffer.tsx#L30:44,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/PointsBuffer.tsx#L37:51,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/PointsBuffer.tsx#L118:132"
22 lines occurring 2 times in 2 files,HIGH,RAW,2,22,22,2,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L135:169,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L49:83"
11 lines occurring 3 times in 3 files,HIGH,RAW,1,11,22,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L42:52,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L80:90,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L88:98"
