Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"McCabe complexity of 10 for unit useImageMarkersOnMap.ts.useImageMarkersOnMap(FinishedPointType|null,AttachmentType[],MapView|null|undefined,GraphicsLayer|null|undefined)",LOW,RAW,2026-06-06,23,"useImageMarkersOnMap.ts.useImageMarkersOnMap(FinishedPointType|null,AttachmentType[],MapView|null|undefined,GraphicsLayer|null|undefined)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useImageMarkersOnMap.ts#L10:129,TypeScript,98,10,4
McCabe complexity of 8 for unit Step2Sub1.tsx.Step2Sub1(any),LOW,RAW,2026-06-04,25,Step2Sub1.tsx.Step2Sub1(any),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L9:151,TypeScript,91,8,1
McCabe complexity of 10 for unit handleUpdate(),LOW,RAW,2026-06-04,25,handleUpdate(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Form/index.tsx#L47:148,TypeScript,87,10,0
"McCabe complexity of 6 for unit createGeometry.ts.createGeometry(Request,Response)",LOW,RAW,2026-06-04,25,"createGeometry.ts.createGeometry(Request,Response)",backend/src/routes/geometries/createGeometry.ts#L12:90,TypeScript,72,6,2
McCabe complexity of 7 for unit index.tsx.SelectedPointDetails(),LOW,RAW,2026-06-04,25,index.tsx.SelectedPointDetails(),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/SelectedPointDetails/index.tsx#L13:83,TypeScript,71,7,0
McCabe complexity of 9 for unit createGeometryGraphic.ts,LOW,RAW,2026-06-04,25,createGeometryGraphic.ts,src/helpers/ArcGISHelpers/createGeometryGraphic.ts#L1:154,TypeScript,71,9,0
McCabe complexity of 6 for unit app.ts,LOW,RAW,2026-06-04,25,app.ts,backend/src/app.ts#L1:43,TypeScript,70,6,0
McCabe complexity of 8 for unit installers.ts,LOW,RAW,2026-06-04,25,installers.ts,backend/src/routes/installers.ts#L1:32,TypeScript,70,8,0
"McCabe complexity of 8 for unit updateFinishedPointAttachments.ts.updateFinishedPointAttachments(Request,Response)",LOW,RAW,2026-06-04,25,"updateFinishedPointAttachments.ts.updateFinishedPointAttachments(Request,Response)",backend/src/routes/finished_plans/updateFinishedPointAttachments.ts#L12:94,TypeScript,69,8,2
McCabe complexity of 9 for unit arcgis.ts.fetchArcgisAdminTokenOnce(),LOW,RAW,2026-06-04,25,arcgis.ts.fetchArcgisAdminTokenOnce(),backend/src/services/arcgis.ts#L201:278,TypeScript,67,9,0
McCabe complexity of 9 for unit index.tsx.EnrichedAddPoint(),LOW,RAW,2026-06-04,25,index.tsx.EnrichedAddPoint(),src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/index.tsx#L18:38,TypeScript,67,9,0
McCabe complexity of 6 for unit NotLoggedInWarning.tsx.NotLoggedInWarning(),LOW,RAW,2026-06-04,25,NotLoggedInWarning.tsx.NotLoggedInWarning(),src/Components/HomePage/Body/Common/NotLoggedInWarning.tsx#L11:21,TypeScript,66,6,0
McCabe complexity of 8 for unit index.tsx.AddPointStep(),LOW,RAW,2026-06-04,25,index.tsx.AddPointStep(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/index.tsx#L14:88,TypeScript,65,8,0
McCabe complexity of 8 for unit handleSubmit(),LOW,RAW,2026-06-04,25,handleSubmit(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L358:433,TypeScript,61,8,0
McCabe complexity of 10 for unit getKeycloakAdminToken.ts.getKeycloakAdminToken(any),LOW,RAW,2026-06-04,25,getKeycloakAdminToken.ts.getKeycloakAdminToken(any),backend/src/services/getKeycloakAdminToken.ts#L5:75,TypeScript,59,10,1
McCabe complexity of 7 for unit exportCsv(),LOW,RAW,2026-06-04,25,exportCsv(),src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L97:163,TypeScript,57,7,0
McCabe complexity of 9 for unit buildFlightPlanQuery.ts.buildFlightPlanQuery(BuildFlightPlanQueryOptions),LOW,RAW,2026-06-10,19,buildFlightPlanQuery.ts.buildFlightPlanQuery(BuildFlightPlanQueryOptions),backend/src/helpers/queries/buildFlightPlanQuery.ts#L26:89,TypeScript,57,9,1
