Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"21 lines of code for unit getBboxPolygon(any,any)",LOW,RAW,2026-06-04,26,"getBboxPolygon(any,any)",src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L118:141,TypeScript,21,1,2
"21 lines of code for unit getPointsDescription.ts.getPointsDescription(Request,Response)",LOW,RAW,2026-06-04,26,"getPointsDescription.ts.getPointsDescription(Request,Response)",backend/src/routes/points/getPointsDescription.ts#L4:28,TypeScript,21,3,2
21 lines of code for unit index.tsx.AllUsersTable(),LOW,RAW,2026-06-04,26,index.tsx.AllUsersTable(),src/Components/DashboardPage/AllUsersTable/index.tsx#L39:54,TypeScript,21,3,0
"21 lines of code for unit sortPointsWithSelectionOrder.ts.sortPointsWithSelectionOrder(T[],number[])",LOW,RAW,2026-06-29,1,"sortPointsWithSelectionOrder.ts.sortPointsWithSelectionOrder(T[],number[])",src/hooks/points/sortPointsWithSelectionOrder.ts#L4:15,TypeScript,21,12,2
21 lines of code for unit handleSubmit(),LOW,RAW,2026-06-04,26,handleSubmit(),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/AddToPlan/StepNo/Buttons.tsx#L23:44,TypeScript,21,1,0
21 lines of code for unit Section2.tsx.Section2(),LOW,RAW,2026-06-04,26,Section2.tsx.Section2(),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Block1/Section2.tsx#L4:28,TypeScript,21,1,0
"21 lines of code for unit geometryRouteHelpers.ts.insertGeometryPoints(PoolClient,number,PointCoreSource[])",LOW,RAW,2026-06-30,0,"geometryRouteHelpers.ts.insertGeometryPoints(PoolClient,number,PointCoreSource[])",backend/src/helpers/queries/geometries/geometryRouteHelpers.ts#L54:80,TypeScript,21,2,3
20 lines of code for unit Buttons.tsx.Buttons(any),LOW,RAW,2026-06-04,26,Buttons.tsx.Buttons(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L10:31,TypeScript,20,1,1
20 lines of code for unit createMarker(__esri.Point),LOW,RAW,2026-06-04,26,createMarker(__esri.Point),src/hooks/hover-click-handlers/useFeatureLayerPopup.ts#L28:53,TypeScript,20,2,1
20 lines of code for unit handleSubmit(),LOW,RAW,2026-06-04,26,handleSubmit(),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepNo/Buttons.tsx#L25:47,TypeScript,20,2,0
