Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
7 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-13,1,7,14,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Common/Filter.tsx#L12:18,src/Components/HomePage/Body/Left/Voorbereiding/RemoveFlightPlan/Filter/index.tsx#L10:16,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Filter/index.tsx#L12:18"
6 lines occurring 4 times in 4 files,HIGH,RAW,2026-07-13,1,6,18,4,false,true,TypeScript,"backend/src/routes/flightPlans/getAllFlightPlans.ts#L6:11,backend/src/routes/flightPlans/getFullPreparedFlightPlans.ts#L5:10,backend/src/routes/flightPlans/getPrepreparedFlightPlans.ts#L5:10,backend/src/routes/flightPlans/getUnPreparedPlans.ts#L5:10"
6 lines occurring 4 times in 4 files,HIGH,RAW,2026-07-13,1,6,18,4,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/helpers/buildUpdatedPlanFromForm.ts#L6:11,src/hooks/zustand/shared/flightPlanFormFields.ts#L2:7,src/Components/HomePage/Body/Left/Common/FlightPlanForm/FlightPlanStandardFields.tsx#L12:17,src/hooks/flightPlan/pickFlightPlanCreateFields.ts#L6:11"
7 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-13,1,7,14,3,false,false,TypeScript,"src/Types/finished_plans.ts#L30:36,backend/src/helpers/validators/finishedPlan.ts#L37:43,src/Types/index.ts#L4:10"
6 lines occurring 4 times in 3 files,HIGH,RAW,2026-07-13,1,6,18,4,false,false,TypeScript,"backend/src/helpers/queries/geometries/geometryJson.ts#L13:18,src/helpers/points/pointColumnKeys.ts#L2:7,src/helpers/points/pointColumnKeys.ts#L18:23,backend/src/helpers/queries/points/pointCoreColumns.ts#L2:7"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx#L43:53,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx#L48:58"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,15,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L10:17,backend/src/routes/devices-updates/types.ts#L14:21"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,8,8,2,false,true,TypeScript,"backend/src/routes/auth/authKeycloak/loginDirectHandler.ts#L29:38,backend/src/routes/auth2/loginHandler.ts#L41:50"
8 lines occurring 2 times,HIGH,RAW,2026-07-04,10,8,8,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/pointMapGraphics.ts#L90:98,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/pointMapGraphics.ts#L113:121"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-13,1,6,12,3,false,false,TypeScript,"src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L25:30,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L33:38,src/hooks/resultTab/useResultTabStarredPointActions.ts#L35:40"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-04,10,6,12,3,false,false,TypeScript,"src/Types/index.ts#L31:36,src/hooks/flightPlan/populateFormFromPlan.ts#L4:9,src/hooks/flightPlan/usePopulateFlightPlanFormEffect.ts#L28:33"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/useAddPointStepMapClick.ts#L35:42,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/useEnrichedAddPointMapClick.ts#L53:60"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,15,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L1:8,backend/src/routes/devices-updates/types.ts#L1:8"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/index.tsx#L7:15,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/Submit.tsx#L7:15"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,40,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/PlanInformation.tsx#L5:14,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/ViewPlans/PlanInformation.tsx#L7:16"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,8,8,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/templateFlightStates.ts#L33:40,src/hooks/zustand/voorbereiding/useFlightPlanState.ts#L37:44"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-13,1,6,12,3,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/index.tsx#L23:28,src/Components/HomePage/Body/Bottom/PointsView/PointsViewTables.tsx#L39:44,src/Components/HomePage/Body/Bottom/PointsView/usePointsViewController.ts#L121:126"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,38,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L12:20,src/Components/HomePage/Body/Left/Voorbereiding/RemoveFlightPlan/SinglePlan.tsx#L19:28"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,40,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step3/index.tsx#L9:17,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step2/index.tsx#L9:17"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,8,8,2,false,true,TypeScript,"backend/src/routes/points/editPointStatus.ts#L6:14,backend/src/routes/flightPlans/updateFlightPlanStatus.ts#L6:14"
6 lines occurring 3 times,HIGH,RAW,2026-07-13,1,6,12,3,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportTables.ts#L14:19,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportTables.ts#L51:56,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportTables.ts#L91:96"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,8,8,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parsePointImportFile.ts#L24:31,src/helpers/ZustandStates/popUpState.ts#L6:13"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-13,1,6,12,3,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parsePointImportFile.ts#L24:29,src/helpers/ZustandStates/popUpState.ts#L6:11,src/hooks/zustand/tools/useDeletePointState.ts#L101:106"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,34,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/AddToPlan/Step1.tsx#L6:15,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/Step1.tsx#L6:15"
8 lines occurring 2 times,HIGH,RAW,2026-06-04,40,8,8,2,true,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useTableScrollWidth.ts#L15:22,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useTableScrollWidth.ts#L50:57"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx#L13:21,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Form.tsx#L18:26"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-13,1,6,12,3,false,false,TypeScript,"src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L13:18,src/hooks/zustand/useDrawingStore.ts#L16:21,src/hooks/zustand/useEnrichedPointState.ts#L32:39"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,8,8,2,false,true,TypeScript,"backend/src/helpers/queries/points/pointSqlBuilders.ts#L29:36,backend/src/helpers/queries/geometries/updateGeometryPoints.ts#L31:38"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-13,1,6,12,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L43:48,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx#L13:18,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Form.tsx#L18:23"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,8,8,2,false,true,TypeScript,"src/Components/DashboardPage/ResetPassword/index.tsx#L69:83,src/Components/DashboardPage/EditUser/index.tsx#L79:93"
