Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
23 lines of code for unit usePathLoadingReady.ts.usePathLoadingReady(any),LOW,RAW,2026-07-29,6,usePathLoadingReady.ts.usePathLoadingReady(any),src/Components/HomePage/hooks/hover-click-handlers/usePathLoadingReady.ts#L3:22,TypeScript,23,5,1
23 lines of code for unit buildTabHeaderLabelMap.ts.buildTabHeaderLabelMap(TabHeaderContent),LOW,RAW,2026-07-18,17,buildTabHeaderLabelMap.ts.buildTabHeaderLabelMap(TabHeaderContent),src/Components/HomePage/Body/Left/Common/TabHeader/buildTabHeaderLabelMap.ts#L10:34,TypeScript,23,1,1
23 lines of code for unit flightPlanFormFields.ts,LOW,RAW,2026-07-17,18,flightPlanFormFields.ts,src/hooks/zustand/shared/flightPlanFormFields.ts#L1:23,TypeScript,23,1,0
23 lines of code for unit exportFlightPathZip.ts.buildFlightPathGeoJson(FinishedFlightPlanType),LOW,RAW,2026-07-30,5,exportFlightPathZip.ts.buildFlightPathGeoJson(FinishedFlightPlanType),src/Components/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/VliegrouteExporteren/exportFlightPathZip.ts#L7:32,TypeScript,23,1,1
"23 lines of code for unit fetchAndRegisterArcGisToken.ts.fetchAndRegisterArcGisToken(string,string[])",LOW,RAW,2026-07-18,17,"fetchAndRegisterArcGisToken.ts.fetchAndRegisterArcGisToken(string,string[])",src/helpers/tokens/fetchAndRegisterArcGisToken.ts#L12:42,TypeScript,23,5,2
23 lines of code for unit buildFlightPlanQuery.ts.buildFlightPlanQuery(BuildFlightPlanQueryOptions),LOW,RAW,2026-06-30,35,buildFlightPlanQuery.ts.buildFlightPlanQuery(BuildFlightPlanQueryOptions),backend/src/helpers/queries/flight-plans/buildFlightPlanQuery.ts#L10:38,TypeScript,23,1,1
23 lines of code for unit handleDelete(),LOW,RAW,2026-07-30,5,handleDelete(),src/Components/HomePageTools/AandachtspuntenVerwijderen/Actions/Main/Buttons.tsx#L24:46,TypeScript,23,3,0
23 lines of code for unit FetchFlightPlanListInput.fetchFlightPlanList(FetchFlightPlanListInput),LOW,RAW,2026-07-14,21,FetchFlightPlanListInput.fetchFlightPlanList(FetchFlightPlanListInput),backend/src/helpers/queries/flight-plans/fetchFlightPlanList.ts#L28:52,TypeScript,23,3,1
23 lines of code for unit index.tsx.EditPointCoordinates(any),LOW,RAW,2026-07-30,5,index.tsx.EditPointCoordinates(any),src/Components/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L8:63,TypeScript,23,2,1
23 lines of code for unit buildFlightPlanCreateAttributesCore.ts.buildFlightPlanCreateAttributes(BuildFlightPlanCreateAttributesInput),LOW,RAW,2026-07-29,6,buildFlightPlanCreateAttributesCore.ts.buildFlightPlanCreateAttributes(BuildFlightPlanCreateAttributesInput),src/Components/HomePage/hooks/flightPlan/buildFlightPlanCreateAttributesCore.ts#L18:43,TypeScript,23,2,1
