Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,5,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/Buttons.tsx#L41:49,src/Components/HomePage/Body/Left/Tools/EditGeometry/editGeometryHelpers.ts#L51:59"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/hooks/popUpModal/mapClickHitHandler.ts#L10:15,src/hooks/popUpModal/setupClickListener.ts#L8:13"
6 lines occurring 2 times,HIGH,RAW,2026-07-18,0,6,6,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/editFormActions.ts#L48:53,src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/editFormActions.ts#L78:83"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L19:24,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Form.tsx#L23:28"
6 lines occurring 2 times,HIGH,RAW,2026-07-04,14,6,6,2,true,true,TypeScript,"backend/scripts/verifyRegioPointsGeometries.ts#L14:19,backend/scripts/verifyRegioPointsGeometries.ts#L38:43"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/scheduleEditPointPreview.ts#L5:10,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointPreviewGraphics.ts#L6:11"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,7,7,2,false,true,TypeScript,"backend/src/routes/template_plans/createTemplateFlightPlanHelpers.ts#L46:52,backend/src/routes/template_plans/createTemplateName.ts#L26:32"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,3,7,7,2,false,true,TypeScript,"src/Components/TimesliderItemDetailPage/sections/PlansFilterSection.tsx#L4:11,src/Components/TimesliderItemDetailPage/sections/TimesliderPlansOverlay.tsx#L8:14"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,3,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/index.tsx#L19:25,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterAndSortPlans.ts#L19:25"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,3,7,7,2,false,true,TypeScript,"src/Components/TimesliderItemDetailPage/sections/PlansFilterSection.tsx#L19:25,src/Components/TimesliderItemDetailPage/sections/TimesliderPlansOverlay.tsx#L20:26"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/PointsList.tsx#L5:12,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/PointsList.tsx#L9:16"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/buildGeometryReportTasks.ts#L15:20,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/buildPointReportTasks.ts#L14:19"
6 lines occurring 2 times,HIGH,RAW,2026-07-18,0,6,6,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/editPointCoordinateEffectInputs.ts#L28:34,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/editPointCoordinateEffectInputs.ts#L41:47"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,3,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L11:17,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L13:19"
