Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 15 lines of code,MEDIUM,RAW,2026-06-10,36,src/hooks/hover-click-handlers/useGeometryListMapActions.ts,TypeScript,15
Interface module with 15 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/handleCancel/useHandleClearFinishedPlan.ts,TypeScript,15
Interface module with 15 lines of code,MEDIUM,RAW,2026-07-13,3,src/hooks/flightPlan/runFlightPlanCreateSuccess.ts,TypeScript,15
Interface module with 15 lines of code,MEDIUM,RAW,2026-06-10,36,src/hooks/hover-click-handlers/usePointListMapActions.ts,TypeScript,15
Interface module with 14 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/useResetTabs.ts,TypeScript,14
Interface module with 13 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/getDistanceMeters.ts,TypeScript,13
Interface module with 13 lines of code,MEDIUM,RAW,2026-06-06,40,src/utils/useDebouncedValue.ts,TypeScript,13
Interface module with 13 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/useRenderVluchtPlans.ts,TypeScript,13
Interface module with 12 lines of code,MEDIUM,RAW,2026-06-10,36,src/hooks/viewPlan/useSortedPointSelection.ts,TypeScript,12
Interface module with 12 lines of code,MEDIUM,RAW,2026-07-14,2,src/helpers/geometry/matchesGeometryRepeat.ts,TypeScript,12
Interface module with 12 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/handleCancel/useHandleCancel.ts,TypeScript,12
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/getBackEndUrl.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/ArcGISHelpers/replaceGraphics.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/base64ToBlob.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-07-15,1,src/hooks/filters/filterPlanPoints.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/features/useResetFeatures.ts,TypeScript,11
Interface module with 10 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/getLoginUrlWithReturn.ts,TypeScript,10
Interface module with 9 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/hover-click-handlers/usePointClick.ts,TypeScript,9
Interface module with 8 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/popUpModal/usePopupController.ts,TypeScript,8
Interface module with 8 lines of code,MEDIUM,RAW,2026-06-04,42,src/api/fetchApi.ts,TypeScript,8
Interface module with 7 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/ArcGISHelpers/validateMapView.ts,TypeScript,7
Interface module with 7 lines of code,MEDIUM,RAW,2026-06-10,36,src/hooks/wizard/useWizardCleanup.ts,TypeScript,7
Interface module with 7 lines of code,MEDIUM,RAW,2026-07-13,3,src/hooks/flightPlan/useFlightPlanFormSelectOptions.ts,TypeScript,7
Interface module with 5 lines of code,MEDIUM,RAW,2026-06-04,42,src/hooks/useContent.ts,TypeScript,5
Interface module with 4 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/haversine.ts,TypeScript,4
Interface module with 4 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/isValidEmail.ts,TypeScript,4
Interface module with 3 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/classNames.ts,TypeScript,3
