Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L19:25,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/useSelectFromSourceData.ts#L57:63"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,1,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L11:17,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L13:19"
7 lines occurring 2 times,HIGH,RAW,2026-07-14,2,7,7,2,true,true,TypeScript,"backend/src/helpers/http/runReturningUpdate.ts#L75:84,backend/src/helpers/http/runReturningUpdate.ts#L104:113"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,12,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/PointDetails.tsx#L7:14,src/Components/HomePage/Body/Left/Common/ResultTab/PointDetails.tsx#L8:15"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,6,6,2,false,false,Angular Templates,"public/index.html#L6:11,index.html#L6:11"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L105:116,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L55:66"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,1,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Form.tsx#L23:28,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L56:61"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,36,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub2.tsx#L8:15,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub2.tsx#L9:16"
6 lines occurring 2 times,HIGH,RAW,2026-07-01,15,6,6,2,true,true,TypeScript,"backend/src/helpers/queries/finished-plans/buildFinishedPlanQuery.ts#L66:71,backend/src/helpers/queries/finished-plans/buildFinishedPlanQuery.ts#L105:110"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-01,15,6,6,2,false,true,TypeScript,"backend/src/routes/consts/getLuchtvaartuig.ts#L5:10,backend/src/routes/consts/getOrganisaties.ts#L5:10"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,7,7,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/helpers/buildUpdatedPlanFromForm.ts#L5:11,src/hooks/flightPlan/pickFlightPlanCreateFields.ts#L7:13"
7 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,3,7,7,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/Buttons.tsx#L11:17,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/Buttons.tsx#L15:21"
6 lines occurring 2 times,HIGH,RAW,2026-07-13,3,6,6,2,true,true,TypeScript,"src/Components/HomePage/Body/MapViewComp/useMapHoverHighlight.ts#L9:14,src/Components/HomePage/Body/MapViewComp/useMapHoverHighlight.ts#L44:49"
7 lines occurring 2 times,HIGH,RAW,2026-07-13,3,7,7,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/index.tsx#L34:40,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/index.tsx#L75:81"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,1,6,6,2,false,true,TypeScript,"src/Components/HomePage/Head/HeadButtonsTimeslider.tsx#L19:24,src/Components/HomePage/Head/timeslider/useTimesliderRange.ts#L68:73"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/FiltersSection/FilterInput.tsx#L11:16,src/Components/HomePage/Body/Left/Common/FormComponents/InputComp.tsx#L16:21"
6 lines occurring 2 times,HIGH,RAW,2026-07-13,3,6,6,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Buttons.tsx#L34:39,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Buttons.tsx#L45:50"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,3,6,6,2,false,true,TypeScript,"src/hooks/popUpModal/setupClickListener.ts#L17:22,src/hooks/popUpModal/usePopupMapClickEffect.ts#L26:31"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,6,6,2,false,true,TypeScript,"src/helpers/ArcGISHelpers/createPin.ts#L21:28,src/helpers/ArcGISHelpers/createYellowBorder.ts#L10:17"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,3,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/common/hooks/syncTableTabGraphics.ts#L109:114,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L9:14"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,3,6,6,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L22:27,src/api-hooks/templateFlights/types.ts#L4:9"
6 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,3,6,6,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Form/index.tsx#L13:20,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Form/index.tsx#L14:21"
